COAD 增强实验记录 (SyNG-BTS 2.6)
格式: COAD_5-2-标准化-batch-模型-data_type-状态|时间戳|耗时|完成比例|已完成/总数
COAD_5-2-raw-batch10-CVAE1-200-RNA-success|2026-02-23 19:43:03|0:00:31|33.1%|119/360
COAD_5-2-TC-batch1-CVAE10-1-miRNA-success|2026-02-23 19:43:24|0:00:21|33.3%|120/360
COAD_5-2-TC-batch1-CVAE10-1-RNA-success|2026-02-23 19:43:45|0:00:21|33.6%|121/360
COAD_5-2-TC-batch1-CVAE1-1-miRNA-success|2026-02-23 19:44:03|0:00:17|33.9%|122/360
COAD_5-2-TC-batch1-CVAE1-1-RNA-success|2026-02-23 19:44:50|0:00:46|34.2%|123/360
COAD_5-2-TC-batch1-CVAE1-10-miRNA-success|2026-02-23 19:45:09|0:00:19|34.4%|124/360
COAD_5-2-TC-batch1-CVAE1-10-RNA-success|2026-02-23 19:45:31|0:00:21|34.7%|125/360
COAD_5-2-TC-batch1-CVAE1-50-miRNA-success|2026-02-23 19:45:56|0:00:25|35.0%|126/360
COAD_5-2-TC-batch1-CVAE1-50-RNA-success|2026-02-23 19:46:20|0:00:24|35.3%|127/360
COAD_5-2-TC-batch1-CVAE1-100-miRNA-success|2026-02-23 19:46:43|0:00:23|35.6%|128/360
COAD_5-2-TC-batch1-CVAE1-100-RNA-success|2026-02-23 19:47:14|0:00:31|35.8%|129/360
COAD_5-2-TC-batch1-CVAE1-200-miRNA-success|2026-02-23 19:47:37|0:00:22|36.1%|130/360
COAD_5-2-TC-batch1-CVAE1-200-RNA-success|2026-02-23 19:48:15|0:00:38|36.4%|131/360
COAD_5-2-TC-batch2-CVAE10-1-miRNA-success|2026-02-23 19:48:34|0:00:18|36.7%|132/360
COAD_5-2-TC-batch2-CVAE10-1-RNA-success|2026-02-23 19:48:54|0:00:20|36.9%|133/360
COAD_5-2-TC-batch2-CVAE1-1-miRNA-success|2026-02-23 19:49:13|0:00:18|37.2%|134/360
COAD_5-2-TC-batch2-CVAE1-1-RNA-success|2026-02-23 19:49:35|0:00:21|37.5%|135/360
COAD_5-2-TC-batch2-CVAE1-10-miRNA-success|2026-02-23 19:49:56|0:00:21|37.8%|136/360
COAD_5-2-TC-batch2-CVAE1-10-RNA-success|2026-02-23 19:50:21|0:00:24|38.1%|137/360
COAD_5-2-TC-batch2-CVAE1-50-miRNA-success|2026-02-23 19:50:43|0:00:22|38.3%|138/360
COAD_5-2-TC-batch2-CVAE1-50-RNA-success|2026-02-23 19:51:07|0:00:23|38.6%|139/360
COAD_5-2-TC-batch2-CVAE1-100-miRNA-success|2026-02-23 19:51:56|0:00:48|38.9%|140/360
COAD_5-2-TC-batch2-CVAE1-100-RNA-success|2026-02-23 19:52:22|0:00:26|39.2%|141/360
COAD_5-2-TC-batch2-CVAE1-200-miRNA-success|2026-02-23 19:52:55|0:00:32|39.4%|142/360
COAD_5-2-TC-batch2-CVAE1-200-RNA-success|2026-02-23 19:53:14|0:00:19|39.7%|143/360
COAD_5-2-TC-batch3-CVAE10-1-miRNA-success|2026-02-23 19:53:32|0:00:17|40.0%|144/360
COAD_5-2-TC-batch3-CVAE10-1-RNA-success|2026-02-23 19:53:52|0:00:20|40.3%|145/360
